stop_id,day,time
128N,34 St - Penn Station,WKD,60630
128S,34 St - Penn Station,WKD,58344
128N,34 St - Penn Station,WKD,60930
128S,34 St - Penn Station,WKD,58644
128N,34 St - Penn Station,WKD,61230
128S,34 St - Penn Station,WKD,58944
128N,34 St - Penn Station,WKD,61524
128S,34 St - Penn Station,WKD,59244
128N,34 St - Penn Station,WKD,61794
128S,34 St - Penn Station,WKD,59454
128N,34 St - Penn Station,WKD,62034
128S,34 St - Penn Station,WKD,59724
128N,34 St - Penn Station,WKD,62274
128S,34 St - Penn Station,WKD,59994
128N,34 St - Penn Station,WKD,62514
128S,34 St - Penn Station,WKD,60234
128N,34 St - Penn Station,WKD,62754
128S,34 St - Penn Station,WKD,60474
128N,34 St - Penn Station,WKD,62994
128S,34 St - Penn Station,WKD,60714
128N,34 St - Penn Station,WKD,63234
128S,34 St - Penn Station,WKD,60954
128N,34 St - Penn Station,WKD,63474
128S,34 St - Penn Station,WKD,61194
128N,34 St - Penn Station,WKD,63714
128S,34 St - Penn Station,WKD,61434
128N,34 St - Penn Station,WKD,63954
128S,34 St - Penn Station,WKD,61674
128N,34 St - Penn Station,WKD,64194
128S,34 St - Penn Station,WKD,61914
128N,34 St - Penn Station,WKD,64434
128S,34 St - Penn Station,WKD,62154
128N,34 St - Penn Station,WKD,64674
128S,34 St - Penn Station,WKD,62394
128N,34 St - Penn Station,WKD,64914
128S,34 St - Penn Station,WKD,62634
128N,34 St - Penn Station,WKD,65154
128S,34 St - Penn Station,WKD,62874
128N,34 St - Penn Station,WKD,65394
128S,34 St - Penn Station,WKD,63114
128N,34 St - Penn Station,WKD,65634
128S,34 St - Penn Station,WKD,63354
128N,34 St - Penn Station,WKD,65874
128S,34 St - Penn Station,WKD,63594
128N,34 St - Penn Station,WKD,66114
128S,34 St - Penn Station,WKD,63894
128N,34 St - Penn Station,WKD,66360
128S,34 St - Penn Station,WKD,64194
128N,34 St - Penn Station,WKD,66660
128S,34 St - Penn Station,WKD,64494
128N,34 St - Penn Station,WKD,66960
128S,34 St - Penn Station,WKD,64794
128N,34 St - Penn Station,WKD,67260
128S,34 St - Penn Station,WKD,65094
128N,34 St - Penn Station,WKD,67560
128S,34 St - Penn Station,WKD,65364
128N,34 St - Penn Station,WKD,67860
128S,34 St - Penn Station,WKD,65664
128N,34 St - Penn Station,WKD,68160
128S,34 St - Penn Station,WKD,65964
128N,34 St - Penn Station,WKD,68460
128S,34 St - Penn Station,WKD,66264
128N,34 St - Penn Station,WKD,68760
128S,34 St - Penn Station,WKD,66564
128N,34 St - Penn Station,WKD,69060
128S,34 St - Penn Station,WKD,66864
128N,34 St - Penn Station,WKD,69360
128S,34 St - Penn Station,WKD,67134
128N,34 St - Penn Station,WKD,69660
128S,34 St - Penn Station,WKD,67434
128N,34 St - Penn Station,WKD,69960
